"team_id","year","week","team","w-l","off_dvoa_rank","off_dvoa","off_weight_dvoa_rank","off_weight_dvoa","pass_off_rank","pass_off","rush_off_rank","rush_off","def_dvoa_rank","def_dvoa","def_weight_dvoa_rank","def_weight_dvoa","pass_def_rank","pass_def","rush_def_rank","rush_def"
"nyg_2006_2",2006,2,"nyg","1-1",4,24.6,4,24.6,6,53.5,2,31.1,29,21.5,29,21.5,28,48,10,"-19.7
"
"nyj_2006_2",2006,2,"nyj","1-1",6,24.1,6,24.1,3,80.4,27,-25.8,21,3.9,21,3.9,11,-8.7,30,"15.9
"
"sf_2006_2",2006,2,"sf","1-1",8,20.9,8,20.9,7,37,5,15.8,17,0.6,17,0.6,22,9.5,14,"-10.9
"
"atl_2006_2",2006,2,"atl","2-0",10,16.2,10,16.2,16,11.4,4,22.5,4,-27.8,4,-27.8,5,-32.9,12,"-14.1
"
"jax_2006_2",2006,2,"jax","2-0",12,5.5,12,5.5,11,21.6,15,-0.3,2,-35.1,2,-35.1,2,-39.8,5,"-27.1
"
"no_2006_2",2006,2,"no","2-0",14,-0.6,14,-0.6,17,6,19,-4.5,8,-12,8,-12,9,-11.5,13,"-12.8
"
"sea_2006_2",2006,2,"sea","2-0",16,-4.7,16,-4.7,22,-1,14,-0.2,5,-23.2,5,-23.2,7,-19.4,3,"-29.8
"
"min_2006_2",2006,2,"min","2-0",18,-7,18,-7,20,4.8,21,-8.5,10,-8.9,10,-8.9,12,-7.5,15,"-10.7
"
"hou_2006_2",2006,2,"hou","0-2",20,-9.7,20,-9.7,23,-1.7,26,-18.9,32,51.9,32,51.9,32,81.7,28,"15.1
"
"lar_2006_2",2006,2,"lar","1-1",22,-13.1,22,-13.1,25,-14.2,9,7.2,7,-15.7,7,-15.7,3,-38.4,24,"4.0
"
"mia_2006_2",2006,2,"mia","0-2",24,-14.8,24,-14.8,26,-14.7,17,-1.2,23,9.7,23,9.7,30,54,9,"-21.5
"
"cle_2006_2",2006,2,"cle","0-2",26,-19.9,26,-19.9,27,-32.5,18,-3.6,26,10.8,26,10.8,20,8.1,27,"13.6
"
"car_2006_2",2006,2,"car","0-2",28,-23.9,28,-23.9,28,-32.7,13,-0.1,16,-1.1,16,-1.1,19,4.6,20,"-5.6
"
"ten_2006_2",2006,2,"ten","0-2",30,-30.5,30,-30.5,30,-43.7,20,-6.8,30,31.7,30,31.7,31,57,25,"8.3
"
"oak_2006_2",2006,2,"oak","0-2",32,-77.1,32,-77.1,32,-91.6,32,-45.4,25,10.7,25,10.7,23,9.9,26,"11.1
"
"phi_2006_2",2006,2,"phi","1-1",1,42.1,1,42.1,4,75,7,13.6,19,2,19,2,21,8.9,17,"-8.3
"
"lac_2006_2",2006,2,"lac","2-0",3,29.3,3,29.3,5,70.7,6,15,3,-32,3,-32,4,-34.9,4,"-27.6
"
"cin_2006_2",2006,2,"cin","2-0",5,24.5,5,24.5,9,31.5,1,37,11,-8.8,11,-8.8,8,-15.5,23,"3.7
"
"chi_2006_2",2006,2,"chi","2-0",7,24,7,24,1,95.1,29,-32,6,-16.7,6,-16.7,10,-11.5,6,"-24.0
"
"ne_2006_2",2006,2,"ne","2-0",9,20.4,9,20.4,10,22,3,24.5,24,9.8,24,9.8,26,35.1,8,"-21.6
"
"dal_2006_2",2006,2,"dal","1-1",11,14.4,11,14.4,8,32.8,10,6.3,13,-5.4,13,-5.4,15,-3.6,18,"-8.1
"
"buf_2006_2",2006,2,"buf","1-1",13,3.1,13,3.1,12,19.9,11,3.5,14,-4.9,14,-4.9,6,-29.4,29,"15.5
"
"bal_2006_2",2006,2,"bal","2-0",15,-1.1,15,-1.1,13,16.4,16,-0.9,1,-68.5,1,-68.5,1,-85.9,2,"-36.7
"
"ari_2006_2",2006,2,"ari","1-1",17,-6.7,17,-6.7,14,16.2,23,-16.5,28,15.9,28,15.9,18,2.4,32,"31.0
"
"kc_2006_2",2006,2,"kc","0-2",19,-9,19,-9,19,5.8,25,-18,15,-3.6,15,-3.6,17,1,19,"-6.5
"
"gb_2006_2",2006,2,"gb","0-2",21,-10.4,21,-10.4,21,3.8,28,-28.2,20,2.3,20,2.3,24,17.3,11,"-17.5
"
"pit_2006_2",2006,2,"pit","1-1",23,-13.4,23,-13.4,15,12.1,30,-39.8,9,-10.7,9,-10.7,14,-3.6,7,"-23.1
"
"det_2006_2",2006,2,"det","0-2",25,-15.5,25,-15.5,18,5.8,31,-40.3,22,8.4,22,8.4,29,52.5,1,"-41.1
"
"was_2006_2",2006,2,"was","0-2",27,-21.6,27,-21.6,24,-9,22,-15.3,27,12.1,27,12.1,25,34.8,16,"-9.3
"
"den_2006_2",2006,2,"den","1-1",29,-24.5,29,-24.5,31,-55.1,8,8.9,12,-5.4,12,-5.4,13,-5.9,21,"-5.0
"
"tb_2006_2",2006,2,"tb","0-2",31,-38.6,31,-38.6,29,-43.1,24,-17.6,18,1.4,18,1.4,16,-0.5,22,"2.9
"
"ind_2006_3",2006,3,"ind","3-0",2,30.9,2,30.9,3,62.8,14,2.1,28,15.9,28,15.9,23,16.5,29,"15.2
"
"nyj_2006_3",2006,3,"nyj","2-1",4,25.5,4,25.5,2,67.1,22,-9.3,21,7.2,21,7.2,14,-3.7,31,"18.0
"
"nyg_2006_3",2006,3,"nyg","1-2",6,16.7,6,16.7,6,42.8,2,22.9,29,17,29,17,29,44.8,11,"-15.7
"
"dal_2006_3",2006,3,"dal","1-1",8,11.6,8,11.6,8,29.7,12,3.9,12,-6.4,12,-6.4,13,-4.5,16,"-9.1
"
"chi_2006_3",2006,3,"chi","3-0",10,7.9,10,7.9,5,54.4,30,-31.2,6,-18,6,-18,8,-15.1,8,"-22.1
"
"cin_2006_3",2006,3,"cin","3-0",12,6.3,12,6.3,16,10.7,3,20.3,10,-10.7,10,-10.7,5,-26.5,26,"10.0
"
"no_2006_3",2006,3,"no","3-0",14,5.4,14,5.4,17,9.1,11,4.3,3,-26.6,3,-26.6,4,-28.9,7,"-22.3
"
"jax_2006_3",2006,3,"jax","2-1",16,0,16,0,18,7.2,13,3.7,4,-22.8,4,-22.8,6,-25,9,"-19.1
"
"gb_2006_3",2006,3,"gb","1-2",18,-3.4,18,-3.4,12,24.3,31,-38.5,22,7.4,22,7.4,24,17.5,17,"-7.9
"
"atl_2006_3",2006,3,"atl","2-1",20,-8.6,20,-8.6,28,-22.5,8,9,8,-14.7,8,-14.7,7,-23.4,22,"-0.6
"
"hou_2006_3",2006,3,"hou","0-3",22,-11.3,22,-11.3,22,-2.1,28,-17.8,32,51.7,32,51.7,32,79.8,32,"24.8
"
"kc_2006_3",2006,3,"kc","0-2",24,-11.7,24,-11.7,19,2.6,29,-19.9,14,-4.3,14,-4.3,16,0.6,19,"-7.5
"
"ari_2006_3",2006,3,"ari","1-2",26,-13.6,26,-13.6,23,-6.7,20,-7.6,27,14,27,14,25,18.8,25,"8.5
"
"mia_2006_3",2006,3,"mia","1-2",28,-15.2,28,-15.2,26,-13.9,16,-1.7,15,-2.2,15,-2.2,26,23.4,5,"-25.0
"
"ten_2006_3",2006,3,"ten","0-3",30,-30.3,30,-30.3,31,-34.6,24,-14,30,17.1,30,17.1,28,32.9,23,"2.3
"
"oak_2006_3",2006,3,"oak","0-2",32,-80.6,32,-80.6,32,-95.3,32,-48.7,24,10.2,24,10.2,19,8.4,27,"11.2
"
"phi_2006_3",2006,3,"phi","2-1",1,44.1,1,44.1,4,62.1,1,39.8,16,0.5,16,0.5,18,6.3,18,"-7.7
"
"lac_2006_3",2006,3,"lac","2-0",3,29.1,3,29.1,1,68.7,5,15.7,2,-34,2,-34,3,-36.4,2,"-30.2
"
"ne_2006_3",2006,3,"ne","2-1",5,21.7,5,21.7,7,36.4,7,12.5,31,17.6,31,17.6,30,45.2,12,"-15.4
"
"sf_2006_3",2006,3,"sf","1-2",7,11.7,7,11.7,9,27.1,9,8.5,26,13,26,13,20,12.8,28,"13.3
"
"was_2006_3",2006,3,"was","1-2",9,10.5,9,10.5,13,20.7,4,18.8,25,11.2,25,11.2,27,29.3,14,"-10.1
"
"buf_2006_3",2006,3,"buf","1-2",11,7.2,11,7.2,14,16.1,6,13.7,19,3.5,19,3.5,10,-10.7,30,"16.9
"
"sea_2006_3",2006,3,"sea","3-0",13,6.1,13,6.1,10,25.5,17,-3.6,9,-13.4,9,-13.4,11,-8.4,6,"-22.6
"
"bal_2006_3",2006,3,"bal","3-0",15,0.3,15,0.3,11,24.5,23,-13.2,1,-49.6,1,-49.6,1,-61.3,3,"-29.0
"
"det_2006_3",2006,3,"det","0-3",17,-3,17,-3,15,12.8,25,-14.9,23,7.6,23,7.6,31,52.1,1,"-47.7
"
"den_2006_3",2006,3,"den","2-1",19,-3.7,19,-3.7,24,-11.4,10,8.3,17,0.9,17,0.9,21,13.7,13,"-14.8
"
"lar_2006_3",2006,3,"lar","2-1",21,-10.8,21,-10.8,20,-0.3,19,-7.1,7,-16.7,7,-16.7,2,-38.3,24,"3.8
"
"pit_2006_3",2006,3,"pit","1-2",23,-11.4,23,-11.4,25,-12.3,21,-8.4,5,-18.5,5,-18.5,9,-13.9,4,"-26.0
"
"min_2006_3",2006,3,"min","2-1",25,-12,25,-12,21,-1.9,27,-15.6,11,-9.7,11,-9.7,12,-5.6,10,"-15.8
"
"car_2006_3",2006,3,"car","1-2",27,-15.2,27,-15.2,27,-14.8,15,-1.1,13,-5.3,13,-5.3,15,-0.2,15,"-9.6
"
"cle_2006_3",2006,3,"cle","0-3",29,-17.8,29,-17.8,29,-25.3,18,-4.5,20,7.2,20,7.2,22,14.4,21,"-1.3
"
"tb_2006_3",2006,3,"tb","0-3",31,-31.9,31,-31.9,30,-34.6,26,-15.5,18,1.4,18,1.4,17,5.4,20,"-2.3
"
"ind_2006_4",2006,4,"ind","4-0",2,28,2,28,1,56.1,8,10,27,13.5,27,13.5,22,13.7,28,"13.3
"
"ne_2006_4",2006,4,"ne","3-1",4,24.9,4,24.9,7,40,6,15.6,23,8.8,23,8.8,27,23.8,16,"-11.7
"
"was_2006_4",2006,4,"was","2-2",6,17.2,6,17.2,10,34.6,7,14.9,22,6.7,22,6.7,26,22.5,10,"-15.2
"
"lac_2006_4",2006,4,"lac","2-1",8,12.5,8,12.5,5,45.1,11,4.1,2,-25.5,2,-25.5,6,-22.5,2,"-29.9
"
"no_2006_4",2006,4,"no","3-1",10,8.3,10,8.3,12,20.6,15,-1.6,11,-8.3,11,-8.3,9,-11.7,21,"-2.8
"
"buf_2006_4",2006,4,"buf","2-2",12,3.7,12,3.7,11,21.1,12,4,16,-0.6,16,-0.6,11,-9.3,26,"9.9
"
"cin_2006_4",2006,4,"cin","3-1",14,2.5,14,2.5,20,3.5,3,21,17,1.8,17,1.8,7,-14.9,31,"19.7
"
"det_2006_4",2006,4,"det","0-4",16,-1,16,-1,15,12.1,23,-12.7,28,13.5,28,13.5,32,51,1,"-35.9
"
"den_2006_4",2006,4,"den","2-1",18,-1.3,18,-1.3,23,-5.9,10,7.9,15,-3.8,15,-3.8,16,4.5,12,"-14.0
"
"bal_2006_4",2006,4,"bal","4-0",20,-6,20,-6,14,13.1,27,-16.7,1,-34.6,1,-34.6,1,-40.6,4,"-26.4
"
"sea_2006_4",2006,4,"sea","3-1",22,-7.4,22,-7.4,22,-5.2,16,-3.6,14,-4.1,14,-4.1,15,-0.7,17,"-8.8
"
"atl_2006_4",2006,4,"atl","3-1",24,-11.4,24,-11.4,30,-28.9,9,8.9,3,-24.8,3,-24.8,3,-32.2,13,"-13.4
"
"min_2006_4",2006,4,"min","2-2",26,-12,26,-12,21,-3.2,26,-14.8,9,-10.6,9,-10.6,14,-2.3,6,"-21.1
"
"mia_2006_4",2006,4,"mia","1-3",28,-18.5,28,-18.5,27,-15.7,17,-3.7,12,-6.9,12,-6.9,23,13.9,5,"-26.0
"
"ari_2006_4",2006,4,"ari","1-3",30,-28.7,30,-28.7,28,-24.1,30,-22.5,26,11.2,26,11.2,21,12.2,27,"10.2
"
"oak_2006_4",2006,4,"oak","0-3",32,-47.9,32,-47.9,32,-67.6,22,-11.6,21,6.1,21,6.1,18,7.6,23,"5.0
"
"phi_2006_4",2006,4,"phi","3-1",1,32.6,1,32.6,3,50.9,2,22,13,-6.5,13,-6.5,13,-4.9,18,"-8.7
"
"dal_2006_4",2006,4,"dal","2-1",3,25.2,3,25.2,8,39.6,1,26.2,7,-15.9,7,-15.9,8,-12.2,7,"-20.8
"
"nyj_2006_4",2006,4,"nyj","2-2",5,17.7,5,17.7,2,54.9,19,-7.1,29,14.3,29,14.3,19,8.1,32,"20.0
"
"nyg_2006_4",2006,4,"nyg","1-2",7,16.3,7,16.3,6,44.3,4,20.1,24,9.8,24,9.8,30,35.6,8,"-20.6
"
"chi_2006_4",2006,4,"chi","4-0",9,11.5,9,11.5,4,46.7,25,-14.6,5,-22.5,5,-22.5,4,-25.3,9,"-18.3
"
"kc_2006_4",2006,4,"kc","1-2",11,5.2,11,5.2,9,37.3,28,-18.1,4,-23.1,4,-23.1,2,-33.5,11,"-14.8
"
"car_2006_4",2006,4,"car","2-2",13,3.1,13,3.1,19,3.5,5,16.6,19,3.9,19,3.9,25,20.5,15,"-12.6
"
"jax_2006_4",2006,4,"jax","2-2",15,0.6,15,0.6,16,10.8,14,-0.8,8,-11.9,8,-11.9,10,-10.7,14,"-13.2
"
"lar_2006_4",2006,4,"lar","3-1",17,-1.2,17,-1.2,13,13.3,20,-7.8,10,-9.9,10,-9.9,5,-23.2,24,"5.5
"
"sf_2006_4",2006,4,"sf","1-3",19,-1.6,19,-1.6,17,8.6,13,-0.3,30,18.7,30,18.7,28,26.3,25,"9.4
"
"cle_2006_4",2006,4,"cle","1-3",21,-7.4,21,-7.4,24,-6.2,18,-6.9,20,5.4,20,5.4,17,6.3,22,"4.3
"
"pit_2006_4",2006,4,"pit","1-2",23,-11,23,-11,26,-10.3,21,-9.4,6,-16.8,6,-16.8,12,-9.3,3,"-29.2
"
"gb_2006_4",2006,4,"gb","1-3",25,-11.7,25,-11.7,18,7.8,32,-31.7,25,10,25,10,24,18.8,20,"-3.0
"
"hou_2006_4",2006,4,"hou","1-3",27,-15.9,27,-15.9,25,-7.2,31,-22.7,32,35.3,32,35.3,31,50.5,30,"17.5
"
"tb_2006_4",2006,4,"tb","0-3",29,-24.7,29,-24.7,29,-24.9,24,-13.3,18,2.3,18,2.3,20,8.9,19,"-4.0
"
"ten_2006_4",2006,4,"ten","0-4",31,-29.5,31,-29.5,31,-30.4,29,-20.8,31,22.1,31,22.1,29,31.7,29,"14.2
"
"nyg_2006_5",2006,5,"nyg","2-2",2,22.6,2,22.6,1,51.4,2,21.7,20,4.3,20,4.3,27,26.9,8,"-21.6
"
"ne_2006_5",2006,5,"ne","4-1",4,22,4,22,5,43.9,9,7.4,21,6.8,21,6.8,25,21.1,12,"-13.9
"
"lac_2006_5",2006,5,"lac","3-1",6,13.7,6,13.7,7,38.6,12,5.4,6,-16,6,-16,10,-10.6,5,"-23.8
"
"dal_2006_5",2006,5,"dal","2-2",8,10.5,8,10.5,14,14.2,4,17.7,10,-12.1,10,-12.1,13,-5.5,7,"-21.6
"
"lar_2006_5",2006,5,"lar","4-1",10,6.1,10,6.1,10,25.4,20,-4.4,14,-3.9,14,-3.9,8,-13,25,"6.9
"
"jax_2006_5",2006,5,"jax","3-2",12,5.4,12,5.4,15,14.2,10,6.7,4,-21.9,4,-21.9,4,-29.9,13,"-13.8
"
"nyj_2006_5",2006,5,"nyj","2-3",14,2.4,14,2.4,8,31.2,26,-12.9,31,20.1,31,20.1,22,15.7,32,"23.8
"
"den_2006_5",2006,5,"den","3-1",16,-0.7,16,-0.7,23,-2.3,11,6.3,11,-10.3,11,-10.3,9,-11.9,18,"-8.3
"
"kc_2006_5",2006,5,"kc","2-2",18,-2,18,-2,6,40.7,32,-40,5,-18,5,-18,5,-18.6,10,"-17.6
"
"pit_2006_5",2006,5,"pit","1-3",20,-3.9,20,-3.9,19,0.4,18,-3,8,-13.1,8,-13.1,14,-4.9,3,"-25.9
"
"min_2006_5",2006,5,"min","3-2",22,-7.7,22,-7.7,21,-1.2,22,-8,9,-12.7,9,-12.7,11,-6.3,6,"-22.6
"
"atl_2006_5",2006,5,"atl","3-1",24,-9.2,24,-9.2,30,-27.3,7,11.6,3,-25,3,-25,3,-32.8,14,"-12.8
"
"cle_2006_5",2006,5,"cle","1-4",26,-13.1,26,-13.1,28,-14.5,23,-9.6,22,7.7,22,7.7,21,13.2,24,"1.5
"
"hou_2006_5",2006,5,"hou","1-3",28,-15.1,28,-15.1,25,-6,29,-22.4,32,36.7,32,36.7,32,52.9,29,"17.8
"
"ari_2006_5",2006,5,"ari","1-4",30,-23.6,30,-23.6,27,-12.8,31,-24.8,19,3.8,19,3.8,19,12,19,"-5.4
"
"oak_2006_5",2006,5,"oak","0-4",32,-39.4,32,-39.4,32,-60.7,14,1.2,25,10.8,25,10.8,30,29.6,22,"-1.3
"
"phi_2006_5",2006,5,"phi","4-1",1,29.8,1,29.8,2,47.8,3,18.2,7,-14,7,-14,6,-17.4,17,"-9.6
"
"ind_2006_5",2006,5,"ind","5-0",3,22.1,3,22.1,4,44.7,8,8.1,27,13.9,27,13.9,20,12.6,27,"15.1
"
"chi_2006_5",2006,5,"chi","5-0",5,16.3,5,16.3,3,46.7,19,-4.3,2,-30.4,2,-30.4,1,-38.1,9,"-18.9
"
"was_2006_5",2006,5,"was","2-3",7,13.5,7,13.5,9,28.9,5,14.8,26,11.5,26,11.5,29,28.6,16,"-9.8
"
"car_2006_5",2006,5,"car","3-2",9,6.9,9,6.9,16,10.4,6,13.4,16,-1.3,16,-1.3,18,11.1,11,"-15.2
"
"no_2006_5",2006,5,"no","4-1",11,5.8,11,5.8,12,19,16,-0.5,15,-3.2,15,-3.2,12,-5.9,23,"0.9
"
"cin_2006_5",2006,5,"cin","3-1",13,2.5,13,2.5,18,2,1,22.6,17,3,17,3,7,-14.8,31,"22.1
"
"sf_2006_5",2006,5,"sf","2-3",15,2.4,15,2.4,11,22.6,21,-5.5,29,17.7,29,17.7,23,19.1,28,"16.0
"
"gb_2006_5",2006,5,"gb","1-4",17,-1.7,17,-1.7,13,18,30,-22.5,28,14.1,28,14.1,26,25.9,21,"-1.9
"
"sea_2006_5",2006,5,"sea","3-1",19,-3.4,19,-3.4,20,-0.8,15,0,13,-4.7,13,-4.7,16,-0.9,15,"-10.0
"
"det_2006_5",2006,5,"det","0-5",21,-5.2,21,-5.2,17,6.5,28,-14.4,24,10.7,24,10.7,31,40.3,2,"-27.2
"
"buf_2006_5",2006,5,"buf","2-3",23,-8.8,23,-8.8,22,-1.3,13,1.5,23,8.1,23,8.1,15,-0.9,30,"18.2
"
"tb_2006_5",2006,5,"tb","0-4",25,-11.7,25,-11.7,26,-10.8,17,-1.6,18,3.2,18,3.2,17,9.7,20,"-3.3
"
"bal_2006_5",2006,5,"bal","4-1",27,-14.3,27,-14.3,24,-4.7,27,-13.9,1,-30.5,1,-30.5,2,-34.4,4,"-25.6
"
"mia_2006_5",2006,5,"mia","1-4",29,-22.7,29,-22.7,29,-17.8,24,-10.3,12,-4.9,12,-4.9,24,19.2,1,"-27.3
"
"ten_2006_5",2006,5,"ten","0-5",31,-25.2,31,-25.2,31,-29.3,25,-10.8,30,20,30,20,28,27.2,26,"14.2
"
"ind_2006_6",2006,6,"ind","5-0",2,23.1,2,23.4,2,48,10,6.7,27,13.1,26,12.5,21,13.2,26,"13.0
"
"nyg_2006_6",2006,6,"nyg","3-2",4,21.9,4,21.6,5,41.4,1,26.2,16,-1.2,16,-1.2,18,10.1,12,"-14.9
"
"was_2006_6",2006,6,"was","2-4",6,13.4,6,13.5,8,26.7,3,15.4,26,12.7,27,12.9,29,27.2,19,"-3.7
"
"dal_2006_6",2006,6,"dal","3-2",8,10.1,7,10.3,18,15.6,4,14.9,6,-15.9,6,-16.6,11,-5.9,2,"-30.6
"
"car_2006_6",2006,6,"car","4-2",10,7.1,10,7.5,13,20.4,14,1.1,15,-1.4,15,-1.8,19,11,9,"-16.3
"
"lar_2006_6",2006,6,"lar","4-2",12,6.7,11,6.9,7,27.1,19,-4.3,17,-0.4,18,0.3,14,-0.6,22,"-0.1
"
"chi_2006_6",2006,6,"chi","6-0",14,3.3,14,3.3,12,21.4,20,-5.1,2,-25.5,2,-25.5,3,-25.3,4,"-25.6
"
"sea_2006_6",2006,6,"sea","4-1",16,1.6,15,2.2,15,18.7,22,-7.7,14,-2.4,14,-1.9,16,3.4,15,"-10.5
"
"cin_2006_6",2006,6,"cin","3-2",18,-0.6,18,-0.7,20,6.7,6,11.4,19,2.9,20,3.2,10,-9.7,31,"18.2
"
"det_2006_6",2006,6,"det","1-5",20,-5.7,20,-5.4,19,8.7,28,-16.6,21,6.9,21,7.4,31,30.1,5,"-24.8
"
"kc_2006_6",2006,6,"kc","2-3",22,-8.6,22,-8.4,9,26.4,32,-40.8,12,-4.7,12,-4.9,15,1.7,16,"-9.7
"
"buf_2006_6",2006,6,"buf","2-4",24,-12.4,24,-12.5,27,-10.3,13,1.2,25,10.7,25,11,17,6.8,29,"15.3
"
"bal_2006_6",2006,6,"bal","4-2",26,-14.3,27,-14.5,24,-5.8,27,-14.8,1,-26.4,1,-25.8,4,-20.7,1,"-33.3
"
"ten_2006_6",2006,6,"ten","1-5",28,-17.4,28,-17.2,30,-24.2,15,-2.5,29,17.2,29,17.1,25,21.6,27,"13.6
"
"hou_2006_6",2006,6,"hou","1-4",30,-19,30,-19.3,25,-8.1,30,-29,32,32.4,32,32.4,32,49.7,28,"13.7
"
"oak_2006_6",2006,6,"oak","0-5",32,-40.3,32,-40.2,32,-52.6,21,-6.5,24,10.2,24,10.2,27,24.7,23,"0.5
"
"phi_2006_6",2006,6,"phi","4-2",1,30.1,1,30,3,46.9,2,20.4,8,-11,8,-11.2,8,-10,13,"-12.4
"
"lac_2006_6",2006,6,"lac","4-1",3,21.9,3,22,1,53.9,11,6.1,7,-15,7,-14.9,6,-12.2,8,"-19.2
"
"ne_2006_6",2006,6,"ne","4-1",5,21.1,5,21.5,4,42.6,9,7,22,7.6,22,7.6,26,23.1,11,"-14.9
"
"pit_2006_6",2006,6,"pit","2-3",7,10.2,8,10,11,21.8,12,4.3,5,-19.4,4,-19.6,5,-14.1,3,"-27.7
"
"no_2006_6",2006,6,"no","5-1",9,7.4,9,7.7,10,24.3,16,-4,18,-0.4,17,-0.1,13,-2.4,24,"2.7
"
