p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year,plyr_number
harrisonbutker_kc_2022_7,kc_2022_7,harrisonbutker_kc_2022,kc_2022,harrisonbutker,11988,k,kc,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
younghoekoo_atl_2022_7,atl_2022_7,younghoekoo_atl_2022,atl_2022,younghoekoo,12042,k,atl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
gregjoseph_min_2022_7,min_2022_7,gregjoseph_min_2022,min_2022,gregjoseph,22842,k,min,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jasonsanders_mia_2022_7,mia_2022_7,jasonsanders_mia_2022,mia_2022,jasonsanders,29578,k,mia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
tylerbass_buf_2022_7,buf_2022_7,tylerbass_buf_2022,buf_2022,tylerbass,33010,k,buf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
chasemclaughlin_ind_2022_7,ind_2022_7,chasemclaughlin_ind_2022,ind_2022,chasemclaughlin,33285,k,ind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
mattammendola_ari_2022_7,ari_2022_7,mattammendola_ari_2022,ari_2022,mattammendola,34039,k,ari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
joeyslye_was_2022_7,was_2022_7,joeyslye_was_2022,was_2022,joeyslye,39235,k,was,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
eddypineiro_car_2022_7,car_2022_7,eddypineiro_car_2022,car_2022,eddypineiro,44140,k,car,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
rileypatterson_jax_2022_7,jax_2022_7,rileypatterson_jax_2022,jax_2022,rileypatterson,57556,k,jax,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
mattgay_lar_2022_7,lar_2022_7,mattgay_lar_2022,lar_2022,mattgay,57643,k,lar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
evanmcpherson_cin_2022_7,cin_2022_7,evanmcpherson_cin_2022,cin_2022,evanmcpherson,82583,k,cin,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
cadeyork_cle_2022_7,cle_2022_7,cadeyork_cle_2022,cle_2022,cadeyork,98975,k,cle,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
