player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year
Cameron Heyward,6183,DI,PIT,1,0,0,25,71.1,0,3,29,100.0,24.1,7,0,5.2,0,31,31,3,0,62.3,0,3,17,100.0,17.6,3,8.8,0,19,19,3,2,2022
Justin Houston,6222,ED,BLT,1,0,0,3,62.0,0,4,39,90.9,12.8,5,0,7.7,1,44,40,5,0,56.5,0,0,11,91.7,9.1,1,0.0,0,12,11,0,2,2022
Lawrence Guy,6385,DI,NE,1,0,0,19,59.5,0,2,13,100.0,23.1,3,0,7.7,0,13,13,2,0,61.7,0,2,7,100.0,42.9,3,14.3,0,7,7,2,2,2022
Josh Bynes,6503,LB,BLT,1,0,0,3,57.2,0,0,2,7.7,0.0,0,0,0.0,0,26,2,0,0,,0,0,0,0.0,,0,,0,5,0,0,2,2022
Fletcher Cox,7018,DI,PHI,1,0,0,24,71.5,1,2,31,100.0,19.4,6,0,8.1,1,32,32,4,0,79.8,0,2,19,100.0,26.3,5,10.5,1,20,20,3,2,2022
Michael Brockers,7020,DI,DET,1,0,0,11,53.7,0,0,17,100.0,5.9,1,0,0.0,0,18,18,0,0,48.6,0,0,4,100.0,0.0,0,0.0,0,5,5,0,2,2022
Melvin Ingram III,7024,ED,MIA,1,1,0,17,67.5,0,2,19,91.3,21.1,4,2,5.3,0,23,21,2,0,66.3,0,1,7,100.0,42.9,3,7.1,0,7,7,1,2,2022
Chandler Jones,7027,ED,LV,1,0,0,23,51.3,2,0,41,83.3,4.9,2,0,2.4,0,54,45,2,0,47.2,0,0,10,87.5,0.0,0,0.0,0,16,14,0,2,2022
Bobby Wagner,7050,LB,LA,1,0,0,26,77.1,0,0,6,17.1,16.7,1,0,16.7,1,35,6,1,0,59.1,0,0,1,10.0,0.0,0,0.0,0,10,1,0,2,2022
Lavonte David,7060,LB,TB,1,0,0,30,74.0,0,1,4,8.2,25.0,1,1,37.5,1,49,4,2,0,76.5,0,1,3,11.1,33.3,1,50.0,1,27,3,2,2,2022
Demario Davis,7079,LB,NO,1,0,0,20,64.6,0,0,4,10.8,25.0,1,0,0.0,0,37,4,0,0,65.0,0,0,3,20.0,33.3,1,0.0,0,15,3,0,2,2022
Akiem Hicks,7090,DI,TB,1,0,0,30,51.9,0,0,10,100.0,0.0,0,0,0.0,0,10,10,0,0,55.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0,2,2022
Johnathan Hankins,7830,DI,LV,1,1,0,23,58.0,0,0,22,96.0,0.0,0,0,0.0,0,25,24,0,0,56.1,0,0,4,100.0,0.0,0,0.0,0,4,4,0,2,2022
Tyrann Mathieu,7850,S,NO,1,0,0,20,56.0,0,0,1,5.4,0.0,0,0,0.0,0,37,2,0,0,58.4,0,0,0,6.7,,0,,0,15,1,0,2,2022
John Jenkins,7863,DI,MIA,1,0,0,17,57.7,0,0,3,75.0,0.0,0,0,0.0,0,4,3,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0,2,2022
Duron Harmon,7872,S,LV,1,0,0,23,56.3,0,1,2,3.3,50.0,1,0,25.0,0,60,2,1,0,58.4,0,1,1,5.6,100.0,1,50.0,0,18,1,1,2,2022
William Gholston,7908,DI,TB,1,0,0,30,57.4,0,0,16,94.1,6.3,1,0,0.0,0,17,16,0,0,56.6,0,0,3,100.0,0.0,0,0.0,0,3,3,0,2,2022
Micah Hyde,7941,S,BUF,1,0,0,4,59.1,0,0,1,4.5,0.0,0,0,0.0,0,22,1,0,0,,0,0,0,0.0,,0,,0,11,0,0,2,2022
Nick Williams,8006,DI,NYG,1,0,0,21,52.9,0,1,13,100.0,0.0,0,0,3.8,0,14,14,1,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0,2,2022
Tony Jefferson,8361,S,NYG,1,0,0,21,54.4,0,1,3,30.0,33.3,1,0,16.7,0,10,3,1,0,55.4,0,1,2,28.6,50.0,1,25.0,0,7,2,1,2,2022
Mike Purcell,8530,DI,DEN,1,0,0,10,65.5,0,0,12,100.0,16.7,2,0,0.0,0,13,13,0,0,69.6,0,0,7,100.0,28.6,2,0.0,0,8,8,0,2,2022
Jadeveon Clowney,8636,ED,CLV,1,0,0,8,90.5,0,3,23,95.8,26.1,6,0,10.9,1,24,23,4,0,91.9,0,3,13,100.0,38.5,5,19.2,1,13,13,4,2,2022
Khalil Mack,8640,ED,LAC,1,0,0,27,76.2,0,3,29,91.4,17.2,5,0,8.6,1,35,32,4,0,72.2,0,2,12,93.3,25.0,3,16.7,1,15,14,3,2,2022
Anthony Barr,8644,LB,DAL,1,0,0,9,56.9,0,0,2,5.3,0.0,0,1,0.0,0,38,2,0,0,56.9,0,0,2,22.2,0.0,0,0.0,0,9,2,0,2,2022
Aaron Donald,8648,DI,LA,1,0,0,26,91.9,1,5,29,100.0,31.0,9,0,10.3,0,32,32,6,0,90.0,0,3,8,100.0,50.0,4,18.8,0,10,10,3,2,2022
C.J. Mosley,8652,LB,NYJ,1,0,0,22,59.3,0,0,1,3.0,0.0,0,0,0.0,0,33,1,0,0,,0,0,0,0.0,,0,,0,9,0,0,2,2022
Demarcus Lawrence,8669,ED,DAL,1,0,0,9,59.2,0,0,33,97.1,6.1,2,0,0.0,0,34,33,0,0,58.8,0,0,10,100.0,0.0,0,0.0,0,10,10,0,2,2022
Kyle Van Noy,8675,ED,LAC,1,0,0,27,65.3,1,1,4,25.0,50.0,2,0,25.0,0,16,4,2,0,55.9,0,1,2,33.3,50.0,1,25.0,0,6,2,1,2,2022
Christian Kirksey,8706,LB,HST,1,0,0,13,66.8,0,0,3,14.6,33.3,1,0,33.3,1,41,6,1,0,77.1,0,0,1,7.7,100.0,1,100.0,1,13,1,1,2,2022
Justin Ellis,8742,DI,NYG,1,0,0,21,53.1,0,0,8,100.0,0.0,0,0,0.0,0,11,11,0,0,57.8,0,0,1,100.0,0.0,0,0.0,0,2,2,0,2,2022
DaQuan Jones,8747,DI,BUF,1,0,0,4,53.1,0,2,17,100.0,11.8,2,0,5.9,0,18,18,2,0,48.7,0,1,10,100.0,10.0,1,5.0,0,10,10,1,2,2022
Kevin Pierre-Louis,8767,LB,HST,1,0,0,13,68.0,0,1,2,16.7,0.0,0,1,25.0,0,12,2,1,0,,0,0,0,0.0,,0,,0,3,0,0,2,2022
Brent Urban,8769,DI,BLT,1,0,0,3,59.8,0,1,14,100.0,7.1,1,0,3.6,0,14,14,1,0,56.5,0,0,2,100.0,0.0,0,0.0,0,2,2,0,2,2022
Devon Kennard,8809,ED,ARZ,1,0,0,1,63.4,0,0,8,90.0,12.5,1,0,0.0,0,10,9,0,0,67.3,0,0,1,100.0,100.0,1,0.0,0,1,1,0,2,2022
Denico Autry,8982,ED,TEN,1,1,0,31,84.5,1,2,24,96.4,20.8,5,0,10.4,1,28,27,4,1,90.7,1,2,10,100.0,40.0,4,25.0,1,12,12,4,2,2022
Shaquil Barrett,9000,ED,TB,1,0,0,30,73.6,2,2,34,83.7,20.6,7,0,11.8,2,43,36,6,0,82.0,0,2,19,91.3,26.3,5,15.8,2,23,21,4,2,2022
Kerry Hyder,9045,DI,SF,1,0,0,28,65.8,0,3,10,100.0,30.0,3,0,15.0,0,10,10,3,0,75.4,0,2,4,100.0,50.0,2,25.0,0,4,4,2,2,2022
Mike Pennel,9316,DI,CHI,1,0,0,6,55.5,0,0,10,90.9,0.0,0,0,0.0,0,11,10,0,0,57.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0,2,2022
K'Waun Williams,9332,CB,DEN,1,0,0,10,59.0,0,0,1,2.9,0.0,0,0,0.0,0,35,1,0,0,59.0,0,0,1,4.0,0.0,0,0.0,0,25,1,0,2,2022
Dante Fowler Jr.,9436,ED,DAL,1,1,0,9,92.9,0,1,13,81.3,15.4,2,0,11.5,1,16,13,2,1,95.0,0,0,5,71.4,20.0,1,20.0,1,7,5,1,2,2022
Leonard Williams,9439,DI,NYG,1,0,0,21,75.4,0,4,21,100.0,19.0,4,0,9.5,0,22,22,4,0,90.8,0,3,8,100.0,37.5,3,18.8,0,9,9,3,2,2022
Arik Armstead,9450,DI,SF,1,0,0,28,50.6,0,0,21,100.0,0.0,0,0,0.0,0,23,23,0,0,51.7,0,0,10,100.0,0.0,0,0.0,0,11,11,0,2,2022
Bud Dupree,9455,ED,TEN,1,0,0,31,59.6,0,1,8,100.0,12.5,1,0,6.3,0,9,9,1,0,63.9,0,1,4,100.0,25.0,1,12.5,0,4,4,1,2,2022
Shaq Thompson,9458,LB,CAR,1,0,0,5,52.3,0,0,4,9.1,0.0,0,0,0.0,0,44,4,0,0,55.4,0,0,2,11.1,0.0,0,0.0,0,18,2,0,2,2022
Preston Smith,9471,ED,GB,1,0,0,12,79.9,1,3,14,87.5,35.7,5,0,28.6,2,16,14,6,0,73.3,0,3,5,100.0,60.0,3,30.0,0,5,5,3,2,2022
Eric Kendricks,9478,LB,MIN,1,0,0,18,71.6,1,0,1,2.3,0.0,0,0,50.0,0,44,1,1,0,,0,0,0,0.0,,0,,0,21,0,0,2,2022
Ronald Darby,9483,CB,DEN,1,0,0,10,60.0,0,0,1,2.3,0.0,0,0,0.0,0,43,1,0,0,,0,0,0,0.0,,0,,0,26,0,0,2,2022
Jordan Phillips,9485,DI,BUF,1,0,0,4,60.5,1,1,17,100.0,5.9,1,1,5.9,0,17,17,2,0,64.3,1,1,10,100.0,10.0,1,10.0,0,10,10,2,2,2022
Markus Golden,9491,ED,ARZ,1,0,0,1,61.3,1,1,32,91.9,12.5,4,0,3.1,0,37,34,2,0,62.3,1,1,12,92.3,16.7,2,8.3,0,13,12,2,2,2022
Randy Gregory,9493,ED,DEN,1,0,0,10,69.9,3,0,25,89.3,16.0,4,0,10.0,1,28,25,4,0,68.7,1,0,16,88.9,12.5,2,9.4,1,18,16,2,2,2022
Frank Clark,9496,ED,KC,1,0,0,16,69.4,1,2,37,100.0,10.8,4,0,4.1,0,38,38,3,0,80.3,1,1,19,100.0,21.1,4,5.3,0,20,20,2,2,2022
Jordan Hicks,9517,LB,MIN,1,0,0,18,60.0,0,0,0,3.0,,0,0,,0,33,1,0,0,,0,0,0,0.0,,0,,0,17,0,0,2,2022
Danielle Hunter,9521,ED,MIN,1,0,0,18,57.4,0,2,28,97.1,7.1,2,0,3.6,0,34,33,2,0,61.8,0,1,15,100.0,6.7,1,3.3,0,16,16,1,2,2022
Carl Davis,9523,DI,NE,1,0,0,19,55.9,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,,0,0,0,,,0,,0,0,0,0,2,2022
Henry Anderson,9526,ED,CAR,1,0,0,5,58.9,1,2,11,92.3,18.2,2,0,13.6,0,13,12,3,0,69.3,0,1,1,100.0,100.0,1,50.0,0,2,2,1,2,2022
Angelo Blackson,9533,DI,CHI,1,0,0,6,53.9,0,1,14,100.0,7.1,1,0,3.6,0,14,14,1,0,56.0,0,1,4,100.0,25.0,1,12.5,0,4,4,1,2,2022
Trey Flowers,9534,ED,MIA,1,0,0,17,57.6,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0,2,2022
Za'Darius Smith,9555,ED,MIN,1,0,0,18,69.0,1,5,26,88.2,26.9,7,0,11.5,0,34,30,6,0,70.3,1,3,15,93.8,33.3,5,13.3,0,16,15,4,2,2022
Kwon Alexander,9557,LB,NYJ,1,0,0,22,57.3,0,1,3,18.8,0.0,0,0,16.7,0,16,3,1,0,59.0,0,1,1,100.0,0.0,0,50.0,0,1,1,1,2,2022
Grady Jarrett,9570,DI,ATL,1,0,0,2,60.5,0,0,27,96.4,7.4,2,0,0.0,0,28,27,0,0,60.0,0,0,12,100.0,8.3,1,0.0,0,12,12,0,2,2022
Bobby McCain,9578,S,WAS,1,0,0,32,59.1,0,0,1,2.8,0.0,0,0,0.0,0,36,1,0,0,59.1,0,0,1,4.5,0.0,0,0.0,0,22,1,0,2,2022
Christian Ringo,9643,DI,NO,1,0,0,20,55.9,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,57.7,0,0,2,100.0,0.0,0,0.0,0,2,2,0,2,2022
Rakeem Nunez-Roches,9650,DI,TB,1,0,0,30,55.9,0,0,19,95.0,5.3,1,0,0.0,0,20,19,0,0,62.4,0,0,7,100.0,14.3,1,0.0,0,7,7,0,2,2022
Troy Hill,9881,CB,LA,1,1,0,26,69.5,0,0,1,10.0,0.0,0,0,0.0,0,10,1,0,0,,0,0,0,0.0,,0,,0,3,0,0,2,2022
DeShawn Williams,9891,DI,DEN,1,0,0,10,56.2,0,0,15,100.0,6.7,1,0,0.0,0,15,15,0,0,62.6,0,0,6,100.0,16.7,1,0.0,0,6,6,0,2,2022
Dean Marlowe,9966,S,ATL,1,0,0,2,60.0,0,0,1,7.1,0.0,0,0,0.0,0,14,1,0,0,,0,0,0,0.0,,0,,0,6,0,0,2,2022
Alex Singleton,9994,LB,DEN,1,1,0,10,64.2,0,0,5,12.2,0.0,0,0,0.0,0,41,5,0,1,68.5,0,0,3,12.5,0.0,0,0.0,0,24,3,0,2,2022
Efe Obada,10235,ED,WAS,1,0,0,32,74.4,1,3,15,100.0,26.7,4,0,13.3,0,15,15,4,0,79.2,0,3,7,100.0,42.9,3,21.4,0,7,7,3,2,2022
Erik Harris,10346,S,ATL,1,0,0,2,59.6,0,0,2,11.8,0.0,0,0,0.0,0,17,2,0,0,,0,0,0,0.0,,0,,0,5,0,0,2,2022
Joey Bosa,10637,ED,LAC,1,0,1,27,90.4,2,3,31,97.1,32.3,10,1,8.1,0,35,34,5,0,77.1,1,3,11,92.9,45.5,5,18.2,0,14,13,4,2,2022
Jalen Ramsey,10639,CB,LA,1,0,0,26,56.7,0,0,3,8.6,0.0,0,1,0.0,0,35,3,0,0,,0,0,0,0.0,,0,,0,10,0,0,2,2022
DeForest Buckner,10641,DI,IND,1,0,0,14,60.6,0,1,23,100.0,13.0,3,0,2.2,0,24,24,1,0,71.5,0,1,9,100.0,33.3,3,5.6,0,9,9,1,2,2022
Leonard Floyd,10643,ED,LA,1,0,0,26,71.1,2,3,21,88.9,33.3,7,0,11.9,0,27,24,5,0,58.9,0,0,6,88.9,16.7,1,0.0,0,9,8,0,2,2022
Sheldon Rankins,10646,DI,NYJ,1,0,0,22,60.8,1,0,20,100.0,5.0,1,0,2.5,0,21,21,1,0,62.8,0,0,5,100.0,0.0,0,0.0,0,6,6,0,2,2022
Keanu Neal,10651,S,TB,1,0,0,30,69.7,0,1,2,100.0,50.0,1,1,25.0,0,2,2,1,0,69.7,0,1,2,100.0,50.0,1,25.0,0,2,2,1,2,2022
Shaq Lawson,10653,ED,BUF,1,0,0,4,77.7,0,2,9,100.0,22.2,2,1,11.1,0,10,10,2,0,86.6,0,2,6,100.0,33.3,2,16.7,0,6,6,2,2,2022
Kenny Clark,10661,DI,GB,1,0,0,12,90.5,1,3,16,100.0,37.5,6,0,12.5,0,16,16,4,0,85.5,0,3,5,100.0,80.0,4,30.0,0,5,5,3,2,2022
Emmanuel Ogbah,10666,ED,MIA,1,0,0,17,53.6,0,1,19,100.0,5.3,1,1,2.6,0,21,21,1,0,58.0,0,0,7,100.0,14.3,1,0.0,0,8,8,0,2,2022
Myles Jack,10670,LB,PIT,1,0,0,25,49.9,0,0,3,12.1,0.0,0,0,0.0,0,33,4,0,0,51.5,0,0,2,15.0,0.0,0,0.0,0,20,3,0,2,2022
Chris Jones,10671,DI,KC,1,1,0,16,91.5,0,4,40,100.0,25.0,10,0,10.0,2,41,41,6,0,84.6,0,3,19,100.0,26.3,5,13.2,1,20,20,4,2,2022
Xavien Howard,10672,CB,MIA,1,0,0,17,60.0,0,0,1,3.0,0.0,0,1,0.0,0,33,1,0,0,,0,0,0,0.0,,0,,0,9,0,0,2,2022
Austin Johnson,10677,DI,LAC,1,0,0,27,56.5,0,0,20,100.0,0.0,0,0,0.0,0,23,23,0,0,62.4,0,0,5,100.0,0.0,0,0.0,0,7,7,0,2,2022
Jihad Ward,10678,ED,NYG,1,0,0,21,46.9,0,1,26,83.3,0.0,0,1,1.9,0,36,30,1,0,48.7,0,0,10,70.6,0.0,0,0.0,0,17,12,0,2,2022
A'Shawn Robinson,10680,DI,LA,1,0,0,26,52.0,0,0,19,100.0,0.0,0,0,0.0,0,20,20,0,0,54.7,0,0,4,100.0,0.0,0,0.0,0,4,4,0,2,2022
Jarran Reed,10683,DI,GB,1,0,0,12,63.8,0,1,14,100.0,14.3,2,0,3.6,0,14,14,1,0,63.8,0,1,5,100.0,20.0,1,10.0,0,5,5,1,2,2022
Vonn Bell,10695,S,CIN,1,0,0,7,58.4,0,1,1,2.8,0.0,0,0,50.0,0,36,1,1,0,,0,0,0,0.0,,0,,0,15,0,0,2,2022
Adam Gotsis,10697,DI,JAX,1,0,0,15,90.1,2,0,7,100.0,57.1,4,0,28.6,1,7,7,3,0,90.1,1,0,4,100.0,75.0,3,37.5,1,4,4,2,2,2022
Kevin Byard,10698,S,TEN,1,0,0,31,71.9,0,1,2,4.7,50.0,1,0,25.0,0,43,2,1,0,,0,0,0,0.0,,0,,0,15,0,0,2,2022
Carl Nassib,10699,ED,TB,1,0,0,30,53.7,0,0,4,66.7,0.0,0,0,0.0,0,6,4,0,0,56.0,0,0,2,50.0,0.0,0,0.0,0,4,2,0,2,2022
Maliek Collins,10701,DI,HST,1,0,0,13,56.6,0,1,22,100.0,4.5,1,0,2.3,0,24,24,1,0,63.4,0,1,7,100.0,14.3,1,7.1,0,7,7,1,2,2022
Yannick Ngakoue,10703,ED,IND,1,0,0,14,59.1,1,0,23,100.0,4.3,1,0,2.2,0,25,25,1,0,70.5,1,0,8,100.0,12.5,1,6.3,0,9,9,1,2,2022
Jonathan Bullard,10706,DI,MIN,1,0,0,18,52.6,0,0,14,100.0,0.0,0,1,0.0,0,16,16,0,0,54.8,0,0,4,100.0,0.0,0,0.0,0,5,5,0,2,2022
Daryl Worley,10711,CB,BLT,1,0,0,3,60.0,0,0,1,25.0,0.0,0,0,0.0,0,4,1,0,0,,0,0,0,,,0,,0,0,0,0,2,2022
Nick Vigil,10721,LB,ARZ,1,0,0,1,60.0,0,0,1,6.3,0.0,0,0,0.0,0,16,1,0,0,,0,0,0,0.0,,0,,0,3,0,0,2,2022
Javon Hargrave,10723,DI,PHI,1,0,0,24,62.0,1,3,29,100.0,13.8,4,0,6.9,0,30,30,4,0,66.7,1,3,18,100.0,22.2,4,11.1,0,19,19,4,2,2022
Hassan Ridgeway,10750,DI,SF,1,0,0,28,67.9,0,1,5,100.0,20.0,1,0,10.0,0,5,5,1,0,,0,0,0,,,0,,0,0,0,0,2,2022
David Onyemata,10754,DI,NO,1,0,0,20,69.8,0,2,23,100.0,17.4,4,0,4.3,0,23,23,2,0,82.6,0,1,6,100.0,50.0,3,8.3,0,6,6,1,2,2022
Andrew Billings,10756,DI,LV,1,0,0,23,55.7,0,0,23,100.0,0.0,0,0,0.0,0,27,27,0,0,53.8,0,0,7,100.0,0.0,0,0.0,0,9,9,0,2,2022
Dean Lowry,10771,DI,GB,1,0,0,12,68.6,0,1,4,100.0,25.0,1,0,12.5,0,4,4,1,0,66.9,0,1,1,100.0,100.0,1,50.0,0,1,1,1,2,2022
Matthew Judon,10780,ED,NE,1,0,0,19,61.2,0,1,28,93.5,14.3,4,0,5.4,1,31,29,2,0,61.0,0,0,12,92.9,16.7,2,8.3,1,14,13,1,2,2022
Quinton Jefferson,10781,DI,SEA,1,0,0,29,59.5,0,0,17,100.0,5.9,1,0,0.0,0,19,19,0,0,64.8,0,0,8,100.0,12.5,1,0.0,0,10,10,0,2,2022
Matt Ioannidis,10786,DI,CAR,1,0,0,5,64.7,0,2,32,100.0,9.4,3,1,6.3,1,34,34,3,0,74.8,0,2,11,100.0,27.3,3,18.2,1,11,11,3,2,2022
D.J. Reader,10800,DI,CIN,1,0,0,7,74.2,2,2,16,100.0,25.0,4,0,12.5,0,16,16,4,0,85.9,2,2,6,100.0,66.7,4,33.3,0,6,6,4,2,2022
Kamu Grugier-Hill,10842,LB,HST,1,0,0,13,54.6,0,0,4,12.5,0.0,0,0,0.0,0,40,5,0,0,56.3,0,0,1,16.7,0.0,0,0.0,0,12,2,0,2,2022
Mike Hilton,10898,CB,CIN,1,0,0,7,55.0,0,0,1,6.7,0.0,0,1,0.0,0,30,2,0,0,,0,0,0,0.0,,0,,0,15,0,0,2,2022
Michael Pierce,11101,DI,BLT,1,0,0,3,64.2,0,0,21,100.0,9.5,2,0,0.0,0,21,21,0,0,69.0,0,0,2,100.0,50.0,1,0.0,0,2,2,0,2,2022
Morgan Fox,11184,DI,LAC,1,0,0,27,63.5,0,2,21,100.0,14.3,3,0,4.8,0,22,22,2,0,69.3,0,2,11,100.0,27.3,3,9.1,0,12,12,2,2,2022
Brandin Bryant,11280,DI,BUF,1,0,0,4,52.3,0,0,11,100.0,0.0,0,0,0.0,0,12,12,0,0,53.7,0,0,7,100.0,0.0,0,0.0,0,7,7,0,2,2022
Roy Robertson-Harris,11341,DI,JAX,1,0,0,15,65.3,1,1,14,100.0,28.6,4,0,14.3,1,14,14,3,0,54.0,1,1,6,100.0,33.3,2,16.7,0,6,6,2,2,2022
Myles Garrett,11756,ED,CLV,1,0,0,8,80.6,1,5,39,100.0,15.4,6,1,10.3,1,40,40,7,0,70.6,1,2,23,100.0,17.4,4,6.5,0,23,23,3,2,2022
Solomon Thomas,11758,DI,NYJ,1,0,0,22,55.2,0,0,9,100.0,0.0,0,0,0.0,0,9,9,0,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0,2,2022
Haason Reddick,11768,ED,PHI,1,0,0,24,70.4,0,2,29,87.9,17.2,5,0,3.4,0,33,29,2,0,64.7,0,0,15,88.2,20.0,3,0.0,0,17,15,0,2,2022
Jonathan Allen,11772,DI,WAS,1,0,0,32,60.4,0,1,31,100.0,9.7,3,0,1.6,0,31,31,1,0,60.5,0,1,20,100.0,10.0,2,2.5,0,20,20,1,2,2022
Charles Harris,11777,ED,DET,1,0,0,11,75.6,1,1,31,86.8,6.5,2,0,6.5,1,38,33,3,0,90.8,0,1,11,85.7,18.2,2,13.6,1,14,12,2,2,2022
Jabrill Peppers,11780,S,NE,1,0,0,19,63.8,0,0,1,7.7,100.0,1,0,0.0,0,13,1,0,0,,0,0,0,0.0,,0,,0,5,0,0,2,2022
Budda Baker,11791,S,ARZ,1,0,0,1,56.1,1,0,4,9.1,25.0,1,0,12.5,0,44,4,1,0,58.8,0,0,1,6.3,0.0,0,0.0,0,16,1,0,2,2022
Justin Evans,11805,S,NO,1,0,0,20,55.5,0,0,1,6.1,0.0,0,0,0.0,0,33,2,0,0,59.1,0,0,0,6.7,,0,,0,15,1,0,2,2022
DeMarcus Walker,11806,ED,TEN,1,0,0,31,50.5,0,0,15,100.0,0.0,0,0,0.0,0,15,15,0,0,54.4,0,0,4,100.0,0.0,0,0.0,0,4,4,0,2,2022
Raekwon McMillan,11809,LB,NE,1,0,0,19,58.5,0,0,1,9.1,0.0,0,0,0.0,0,11,1,0,0,,0,0,0,0.0,,0,,0,5,0,0,2,2022
Dalvin Tomlinson,11810,DI,MIN,1,0,0,18,60.0,0,0,27,100.0,7.4,2,0,3.7,1,31,31,1,0,61.2,0,0,14,100.0,7.1,1,0.0,0,15,15,0,2,2022
Zach Cunningham,11812,LB,TEN,1,1,0,31,68.6,0,1,4,10.8,25.0,1,0,12.5,0,37,4,1,0,,0,0,0,0.0,,0,,0,9,0,0,2,2022
Tanoh Kpassagnon,11814,ED,NO,1,0,0,20,52.7,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,54.9,0,0,3,100.0,0.0,0,0.0,0,3,3,0,2,2022
Josh Jones,11816,S,SEA,1,0,0,29,67.6,0,1,3,10.3,0.0,0,0,16.7,0,29,3,1,0,67.6,0,1,1,7.7,0.0,0,50.0,0,13,1,1,2,2022
Larry Ogunjobi,11820,DI,PIT,1,0,0,25,52.5,0,0,22,100.0,0.0,0,0,0.0,0,23,23,0,0,55.0,0,0,14,100.0,0.0,0,0.0,0,15,15,0,2,2022
Dawuane Smoot,11823,ED,JAX,1,0,0,15,55.3,0,0,13,100.0,7.7,1,0,0.0,0,14,14,0,0,58.8,0,0,9,100.0,11.1,1,0.0,0,9,9,0,2,2022
Chris Wormley,11829,DI,PIT,1,0,0,25,57.1,0,0,12,100.0,8.3,1,0,0.0,0,12,12,0,0,62.3,0,0,6,100.0,16.7,1,0.0,0,6,6,0,2,2022
Duke Riley,11830,LB,MIA,1,0,0,17,55.3,0,0,4,30.8,0.0,0,0,0.0,0,13,4,0,0,59.0,0,0,1,50.0,0.0,0,0.0,0,2,1,0,2,2022
Alex Anzalone,11831,LB,DET,1,0,0,11,62.2,0,1,5,10.4,20.0,1,0,10.0,0,48,5,1,0,56.0,0,0,2,11.1,0.0,0,0.0,0,18,2,0,2,2022
Jourdan Lewis,11846,CB,DAL,1,0,0,9,60.0,0,0,1,2.3,0.0,0,0,0.0,0,44,1,0,0,,0,0,0,0.0,,0,,0,14,0,0,2,2022
Montravius Adams,11848,DI,PIT,1,0,0,25,53.5,0,0,6,100.0,0.0,0,0,0.0,0,7,7,0,0,54.5,0,0,3,100.0,0.0,0,0.0,0,4,4,0,2,2022
Trey Hendrickson,11858,ED,CIN,1,0,0,7,65.5,1,0,28,85.3,10.7,3,0,1.8,0,34,29,1,0,54.1,0,0,12,92.9,8.3,1,0.0,0,14,13,0,2,2022
Rayshawn Jenkins,11868,S,JAX,1,1,0,15,70.7,0,0,2,5.6,0.0,0,0,0.0,0,36,2,0,0,,0,0,0,0.0,,0,,0,20,0,0,2,2022
Carl Lawson,11871,ED,NYJ,1,0,0,22,80.6,0,1,21,95.7,28.6,6,0,7.1,1,23,22,2,0,69.2,0,0,6,100.0,16.7,1,16.7,1,7,7,1,2,2022
Samson Ebukam,11880,ED,SF,1,0,0,28,55.7,1,0,14,100.0,7.1,1,0,3.6,0,15,15,1,0,62.6,1,0,5,100.0,20.0,1,10.0,0,5,5,1,2,2022
Deatrich Wise Jr.,11886,ED,NE,1,0,0,19,57.8,0,1,32,94.1,12.5,4,0,1.6,0,34,32,1,0,61.4,0,1,12,100.0,25.0,3,4.2,0,12,12,1,2,2022
Grover Stewart,11899,DI,IND,1,0,0,14,52.5,0,0,19,100.0,0.0,0,0,0.0,0,21,21,0,0,56.1,0,0,3,100.0,0.0,0,0.0,0,4,4,0,2,2022
Anthony Walker,11916,LB,CLV,1,0,0,8,67.5,0,3,4,10.8,25.0,1,0,37.5,0,37,4,3,0,59.4,0,1,1,5.9,0.0,0,50.0,0,17,1,1,2,2022
Matt Milano,11918,LB,BUF,1,0,0,4,56.5,0,0,2,7.4,0.0,0,0,0.0,0,27,2,0,0,,0,0,0,0.0,,0,,0,14,0,0,2,2022
Davon Godchaux,11934,DI,NE,1,0,0,19,53.4,0,0,11,100.0,0.0,0,0,0.0,0,12,12,0,0,54.2,0,0,5,100.0,0.0,0,0.0,0,6,6,0,2,2022
Chuck Clark,11941,S,BLT,1,0,0,3,53.4,0,0,4,7.5,0.0,0,0,0.0,0,53,4,0,0,59.5,0,0,1,8.3,0.0,0,0.0,0,12,1,0,2,2022
